z_column,releases,R_DIS_all
ALL,2017-12-23 13:00:00,226.65537565226447
ALL,2017-12-23 14:00:00,223.03185380172707
ALL,2017-12-23 15:00:00,229.26513324453018
ALL,2017-12-23 16:00:00,238.32550588135626
ALL,2017-12-23 17:00:00,229.8320868020225
ALL,2017-12-23 18:00:00,236.7798843175829
ALL,2017-12-23 19:00:00,271.6595595930493
ALL,2017-12-23 20:00:00,250.65701263749736
ALL,2017-12-23 21:00:00,255.49828877509512
ALL,2017-12-23 22:00:00,281.1137488895789
ALL,2017-12-23 23:00:00,267.81056235480827
ALL,2017-12-24 00:00:00,297.97982683404115
ALL,2017-12-24 01:00:00,305.4344512731851
ALL,2017-12-24 02:00:00,254.4976841200983
ALL,2017-12-24 03:00:00,246.19866898407835
ALL,2017-12-24 04:00:00,243.58004513321947
ALL,2017-12-24 05:00:00,251.81331378186252
ALL,2017-12-24 06:00:00,239.70153018593416
ALL,2017-12-24 07:00:00,237.812461060674
ALL,2017-12-24 08:00:00,244.3858828648939
ALL,2017-12-24 09:00:00,246.31104837733443
ALL,2017-12-24 10:00:00,220.0930863429724
ALL,2017-12-24 11:00:00,223.19975656437055
ALL,2017-12-24 12:00:00,258.93844430325845
ALL,2017-12-24 13:00:00,224.43924236438116
ALL,2017-12-24 14:00:00,205.37797824596876
ALL,2017-12-24 15:00:00,223.21483622084398
ALL,2017-12-24 16:00:00,240.89348485754076
ALL,2017-12-24 17:00:00,251.4392924236265
ALL,2017-12-24 18:00:00,383.23899481882415
ALL,2017-12-24 19:00:00,374.24963828699237
ALL,2017-12-24 20:00:00,357.6924720653624
ALL,2017-12-24 21:00:00,350.8427996622415
ALL,2017-12-24 22:00:00,348.4876657586088
ALL,2017-12-24 23:00:00,344.8832094390759
ALL,2017-12-25 00:00:00,344.2839974809774
ALL,2017-12-25 01:00:00,343.12146658565666
ALL,2017-12-25 02:00:00,329.9800071288086
ALL,2017-12-25 03:00:00,324.3059178711341
ALL,2017-12-25 04:00:00,312.87051607869125
ALL,2017-12-25 05:00:00,385.05932724777546
ALL,2017-12-25 06:00:00,542.0046941695007
ALL,2017-12-25 07:00:00,472.5529741456032
ALL,2017-12-25 08:00:00,426.2879621565721
ALL,2017-12-25 09:00:00,419.11249771554753
ALL,2017-12-25 10:00:00,451.17805625844676
