normalized,z_column,releases,conc_all
0,ALL,2017-12-20 02:00:00,342672.5660723386
0,ALL,2017-12-20 03:00:00,342255.2112505122
0,ALL,2017-12-20 04:00:00,342988.22325404105
0,ALL,2017-12-20 05:00:00,342542.5759885721
0,ALL,2017-12-20 06:00:00,342607.37191425374
0,ALL,2017-12-20 07:00:00,341967.698990442
0,ALL,2017-12-20 08:00:00,339184.2372680854
0,ALL,2017-12-20 09:00:00,335446.73200629925
0,ALL,2017-12-20 10:00:00,330518.64065243513
0,ALL,2017-12-20 11:00:00,329498.3286845606
0,ALL,2017-12-20 12:00:00,332278.0041875097
0,ALL,2017-12-20 13:00:00,330287.561937512
0,ALL,2017-12-20 14:00:00,334628.7548078167
0,ALL,2017-12-20 15:00:00,335845.3698630774
0,ALL,2017-12-20 16:00:00,336465.82469039434
0,ALL,2017-12-20 17:00:00,338502.77206115075
0,ALL,2017-12-20 18:00:00,341863.7369735708
0,ALL,2017-12-20 19:00:00,342719.64828264824
0,ALL,2017-12-20 20:00:00,342414.9789931934
0,ALL,2017-12-20 21:00:00,341448.36209645326
0,ALL,2017-12-20 22:00:00,341433.8030569663
0,ALL,2017-12-20 23:00:00,342171.68995359313
0,ALL,2017-12-21 00:00:00,339755.7050914288
0,ALL,2017-12-21 01:00:00,340516.9747035492
0,ALL,2017-12-21 02:00:00,341538.1969317679
0,ALL,2017-12-21 03:00:00,339961.56241671724
0,ALL,2017-12-21 04:00:00,339905.7149556652
0,ALL,2017-12-21 05:00:00,334442.7953909021
0,ALL,2017-12-21 06:00:00,330648.18062534847
0,ALL,2017-12-21 07:00:00,328188.8615930091
0,ALL,2017-12-21 08:00:00,324359.2831443344
0,ALL,2017-12-21 09:00:00,322053.33602228796
0,ALL,2017-12-21 10:00:00,319268.21857190714
0,ALL,2017-12-21 11:00:00,323757.9750957807
0,ALL,2017-12-21 12:00:00,325923.72677838884
0,ALL,2017-12-21 13:00:00,331475.1869218738
0,ALL,2017-12-21 14:00:00,336494.72957811266
0,ALL,2017-12-21 15:00:00,333929.05727444927
0,ALL,2017-12-21 16:00:00,333779.21614567575
0,ALL,2017-12-21 17:00:00,333958.7864593775
0,ALL,2017-12-21 18:00:00,333664.0820673873
0,ALL,2017-12-21 19:00:00,332558.2444957277
0,ALL,2017-12-21 20:00:00,331610.70750530594
0,ALL,2017-12-21 21:00:00,330753.4623374825
0,ALL,2017-12-21 22:00:00,331887.133716247
0,ALL,2017-12-21 23:00:00,330229.1686055785
0,ALL,2017-12-22 00:00:00,326619.09330519376
0,ALL,2017-12-22 01:00:00,326433.77479853196
0,ALL,2017-12-22 02:00:00,327716.48454814847
0,ALL,2017-12-22 03:00:00,329647.6431938438
0,ALL,2017-12-22 04:00:00,320805.7207484614
0,ALL,2017-12-22 05:00:00,326838.76938266103
0,ALL,2017-12-22 06:00:00,327790.74872129253
0,ALL,2017-12-22 07:00:00,334416.79480680206
0,ALL,2017-12-22 08:00:00,334447.59980093496
0,ALL,2017-12-22 09:00:00,332684.7657060426
0,ALL,2017-12-22 10:00:00,326390.0802440549
0,ALL,2017-12-22 11:00:00,321899.3329290096
0,ALL,2017-12-22 12:00:00,323875.22230610676
0,ALL,2017-12-22 13:00:00,331742.42483351554
0,ALL,2017-12-22 14:00:00,333599.731256838
0,ALL,2017-12-22 15:00:00,338248.3339362424
0,ALL,2017-12-22 16:00:00,334227.76677260024
0,ALL,2017-12-22 17:00:00,336524.3756502297
0,ALL,2017-12-22 18:00:00,341081.3690229686
0,ALL,2017-12-22 19:00:00,341456.87541084434
0,ALL,2017-12-22 20:00:00,337957.0405566092
0,ALL,2017-12-22 21:00:00,337034.52685926174
0,ALL,2017-12-22 22:00:00,334918.45385418215
0,ALL,2017-12-22 23:00:00,332538.8646764228
0,ALL,2017-12-23 00:00:00,329453.2548423947
0,ALL,2017-12-23 01:00:00,336376.9459551018
0,ALL,2017-12-23 02:00:00,339078.1690735989
0,ALL,2017-12-23 03:00:00,337444.3447712563
0,ALL,2017-12-23 04:00:00,335870.5178740867
0,ALL,2017-12-23 05:00:00,333568.9458993229
0,ALL,2017-12-23 06:00:00,336346.12710167066
0,ALL,2017-12-23 07:00:00,337937.4274917726
0,ALL,2017-12-23 08:00:00,336941.2513655091
0,ALL,2017-12-23 09:00:00,339415.17234672164
0,ALL,2017-12-23 10:00:00,338834.7757826721
0,ALL,2017-12-23 11:00:00,337278.6538155299
0,ALL,2017-12-23 12:00:00,332384.90635714866
0,ALL,2017-12-23 13:00:00,330274.8623140006
0,ALL,2017-12-23 14:00:00,336084.1005526732
0,ALL,2017-12-23 15:00:00,336953.3578092571
0,ALL,2017-12-23 16:00:00,334253.03393366846
0,ALL,2017-12-23 17:00:00,337057.7377091164
0,ALL,2017-12-23 18:00:00,337019.09177746164
0,ALL,2017-12-23 19:00:00,337095.19309334166
0,ALL,2017-12-23 20:00:00,337562.70277123764
0,ALL,2017-12-23 21:00:00,340929.51704437856
0,ALL,2017-12-23 22:00:00,337986.4491513591
0,ALL,2017-12-23 23:00:00,334490.9126884105
0,ALL,2017-12-24 00:00:00,339999.0837606636
0,ALL,2017-12-24 01:00:00,340169.2973719569
0,ALL,2017-12-24 02:00:00,338067.19200713857
0,ALL,2017-12-24 03:00:00,336753.64608177496
0,ALL,2017-12-24 04:00:00,334925.93074780726
0,ALL,2017-12-24 05:00:00,335222.2949984291
0,ALL,2017-12-24 06:00:00,332583.8838521206
0,ALL,2017-12-24 07:00:00,335325.97257337964
0,ALL,2017-12-24 08:00:00,338900.41738201794
0,ALL,2017-12-24 09:00:00,338008.31785801804
0,ALL,2017-12-24 10:00:00,335926.0175613743
0,ALL,2017-12-24 11:00:00,334451.76947580476
0,ALL,2017-12-24 12:00:00,335316.68597937556
0,ALL,2017-12-24 13:00:00,330038.2713294815
0,ALL,2017-12-24 14:00:00,333300.7384328977
0,ALL,2017-12-24 15:00:00,333449.2108787915
0,ALL,2017-12-24 16:00:00,327606.7258227882
0,ALL,2017-12-24 17:00:00,328701.6542241359
0,ALL,2017-12-24 18:00:00,338552.6068643857
0,ALL,2017-12-24 19:00:00,338767.90795712016
0,ALL,2017-12-24 20:00:00,337738.84767051943
0,ALL,2017-12-24 21:00:00,334762.45956746524
0,ALL,2017-12-24 22:00:00,337047.51638905774
0,ALL,2017-12-24 23:00:00,337465.30400872935
0,ALL,2017-12-25 00:00:00,338843.65092491294
0,ALL,2017-12-25 01:00:00,338199.97300977964
0,ALL,2017-12-25 02:00:00,335095.5779246983
0,ALL,2017-12-25 03:00:00,333804.0541841283
0,ALL,2017-12-25 04:00:00,331290.6286212971
0,ALL,2017-12-25 05:00:00,334111.2342887808
0,ALL,2017-12-25 06:00:00,334663.2247085177
0,ALL,2017-12-25 07:00:00,332469.88881932356
0,ALL,2017-12-25 08:00:00,330582.37477278826
0,ALL,2017-12-25 09:00:00,329013.23625133274
0,ALL,2017-12-25 10:00:00,328520.69318163604
0,ALL,2017-12-25 11:00:00,326671.7022015015
0,ALL,2017-12-25 12:00:00,326637.7742723269
0,ALL,2017-12-25 13:00:00,332628.63523561665
0,ALL,2017-12-25 14:00:00,337826.82636138663
0,ALL,2017-12-25 15:00:00,338962.7539465209
0,ALL,2017-12-25 16:00:00,339956.2236003067
0,ALL,2017-12-25 17:00:00,340329.7212928504
0,ALL,2017-12-25 18:00:00,340929.8417987603
0,ALL,2017-12-25 19:00:00,340827.68395714724
0,ALL,2017-12-25 20:00:00,339628.5638598379
0,ALL,2017-12-25 21:00:00,335495.07430904487
0,ALL,2017-12-25 22:00:00,333420.6684274801
0,ALL,2017-12-25 23:00:00,331336.4546228004
0,ALL,2017-12-26 00:00:00,331258.55846971704
0,ALL,2017-12-26 01:00:00,332359.75858179445
0,ALL,2017-12-26 02:00:00,338561.1040162322
0,ALL,2017-12-26 03:00:00,337608.8934771198
0,ALL,2017-12-26 04:00:00,338047.4558198438
0,ALL,2017-12-26 05:00:00,339279.88447876065
0,ALL,2017-12-26 06:00:00,339155.60810268123
0,ALL,2017-12-26 07:00:00,339553.0476707092
0,ALL,2017-12-26 08:00:00,338126.59480524645
0,ALL,2017-12-26 09:00:00,336986.0090879328
0,ALL,2017-12-26 10:00:00,335732.14735001436
0,ALL,2017-12-26 11:00:00,331284.7515185043
0,ALL,2017-12-26 12:00:00,329130.82801605365
0,ALL,2017-12-26 13:00:00,335246.1838708127
0,ALL,2017-12-26 14:00:00,340426.4028994293
0,ALL,2017-12-26 15:00:00,340743.6251758905
0,ALL,2017-12-26 16:00:00,341257.3746851354
0,ALL,2017-12-26 17:00:00,341471.5464590676
0,ALL,2017-12-26 18:00:00,341752.35081021907
0,ALL,2017-12-26 19:00:00,342131.9865421554
0,ALL,2017-12-26 20:00:00,341481.1520355341
0,ALL,2017-12-26 21:00:00,341361.2099394677
0,ALL,2017-12-26 22:00:00,340798.3627932789
0,ALL,2017-12-26 23:00:00,341074.0111903871
0,ALL,2017-12-27 00:00:00,341574.3541014489
0,ALL,2017-12-27 01:00:00,341330.3888419573
0,ALL,2017-12-27 02:00:00,341470.7626722108
0,ALL,2017-12-27 03:00:00,341308.623582826
0,ALL,2017-12-27 04:00:00,341514.09412683884
0,ALL,2017-12-27 05:00:00,341366.17708608246
0,ALL,2017-12-27 06:00:00,341375.81619215204
0,ALL,2017-12-27 07:00:00,341436.8030549544
0,ALL,2017-12-27 08:00:00,341414.8192341838
0,ALL,2017-12-27 09:00:00,341404.8257230547
0,ALL,2017-12-27 10:00:00,340869.7803128811
