z_column,releases,ZSL_all
ALL,2017-12-28 09:00:00,5533.486598695189
ALL,2017-12-28 10:00:00,6403.824956909969
ALL,2017-12-28 11:00:00,6340.944299203229
ALL,2017-12-28 12:00:00,5556.233055482684
ALL,2017-12-28 13:00:00,5284.919876367843
ALL,2017-12-28 14:00:00,5291.59059063367
ALL,2017-12-28 15:00:00,5210.631081963183
ALL,2017-12-28 16:00:00,5137.73670287803
ALL,2017-12-28 17:00:00,5222.969911532874
ALL,2017-12-28 18:00:00,5543.642473351402
ALL,2017-12-28 19:00:00,5908.152347050895
ALL,2017-12-28 20:00:00,5807.936609660234
ALL,2017-12-28 21:00:00,5786.787529540731
ALL,2017-12-28 22:00:00,6040.1159114225275
ALL,2017-12-28 23:00:00,5931.185238883466
ALL,2017-12-29 00:00:00,5929.2883754554705
ALL,2017-12-29 01:00:00,5812.770391196732
